"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,NA,"Fixed",11,3,"14.Fixed",0.96188,376.75093,395.88093,0.41561,0.16453,0.41635,0.07091,NA,0.41808,NA,4.94725,NA,54,31,26,40,37,30,57,NA,40,NA,NA,7,7,5,7,7,7,2,NA,7,NA,NA,38.2,6.6
6,6,"DBH.cm, Height.m",2,"Species","MixedInt",12,2,"6.MixedInt_Species",0.96221,469.38698,489.40641,0.42029,0.17036,0.42283,0.06939,0,0.42179,0.13649,5.482,0.13649,50,41,42,42,41,34,50,26,42,29,37,5,4,4,5,5,3,6,2,5,2,2,43.4,4.6
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,NA,"Fixed",13,1,"13.Fixed",0.96199,457.86175,477.88119,0.42062,0.17049,0.42386,0.06216,NA,0.42271,NA,5.05013,NA,53,39,39,43.5,43.5,35,35,NA,44,NA,NA,7,5,5,6.5,6.5,5,4,NA,7,NA,NA,43.7,6.1
4,4,"Comp.DBH.H.Den",1,"Site","MixedInt",14,3,"4.MixedInt_Site",0.96132,472.79137,488.80691,0.41849,0.16963,0.42469,0.05818,0,0.42189,0.10207,-Inf,0.10207,57,43,41,41,40,36,31,26,43,31,32,4,4,4,4,4,4,4,2.5,4,3,3,45,4
7,7,"DBH.cm, CanopyDiameter.m",2,NA,"Fixed",15,3,"7.Fixed",0.95908,398.7948,414.0988,0.43061,0.17047,0.42775,0.08299,NA,0.43253,NA,4.55624,NA,67,34,31,48,42,38,71,NA,48,NA,NA,7,7,7,7,7,7,7,NA,7,NA,NA,45.6,7
1,1,"DBH.cm",1,"Species&Site","MixedIntSlope",16,1,"1.MixedIntSlope_Species&Site",0.96368,649.1979,687.18321,0.42388,0.19079,0.43788,0.0673,0,0.43133,0.44881,-Inf,0.38472,42,51,51,45,51,42,46,26,47,5,65,1,1,1,1,1,1,2,3.5,1,1,6,47.2,1
4,4,"Comp.DBH.H.Den",1,NA,"Fixed",17,4,"4.Fixed",0.95723,501.64007,513.65173,0.44618,0.18085,0.44359,0.0887,NA,0.44728,NA,-Inf,NA,69,48,45,50,48,45,80,NA,50,NA,NA,7,7,7,7,7,7,7,NA,7,NA,NA,52.4,7
6,6,"DBH.cm, Height.m",2,NA,"Fixed",18,3,"6.Fixed",0.95518,522.58209,538.59764,0.45673,0.18513,0.45735,0.05931,NA,0.45844,NA,5.04598,NA,71,49,49,51,50,46,32,NA,51,NA,NA,7,7,7,7,7,6,5,NA,7,NA,NA,54.2,7
1,1,"DBH.cm",1,"Site","MixedIntSlope",19,2,"1.MixedIntSlope_Site",0.95295,748.35063,773.67417,0.47856,0.2154,0.49021,0.05067,0,0.48507,0.34506,-Inf,0.27514,75,55,53,53,53,52,13,26,53,10,60,2,3,3,2,2,3,1,3.5,2,2,5,57.8,2.4
1,1,"DBH.cm",1,"Species","MixedIntSlope",20,3,"1.MixedIntSlope_Species",0.95279,736.88118,762.20472,0.48486,0.21824,0.48552,0.08734,0,0.48766,0.26328,-Inf,0.22074,78,54,52,54,54,50,78,26,55,12,55,3,2,2,3,3,2,5,3.5,3,3,4,58.6,2.6
1,1,"DBH.cm",1,"Species&Site","MixedInt",21,4,"1.MixedInt_Species&Site",0.94568,784.07905,805.182,0.50563,0.22759,0.50894,0.0941,0,0.51026,0.22017,-Inf,0.22017,80,58,58,57,56,54,90,26,58,15,54,4,4,4,4,4,4,6,3.5,4,4,3,62.2,4
5,5,"Comp.Can.H.Den",1,"Site","MixedIntSlope",22,1,"5.MixedIntSlope_Site",0.96862,1041.7775,1067.58222,0.59798,0.99835,0.60957,0.04426,0,0.60373,0.40987,-Inf,0.41372,33,73,71,69,76,65,6,26,69,9,69,2,2,1,2,2,2,1,3,2,1,5,63,1.8
8,8,"DBH.cm, WoodDensity.g.cm3",2,NA,"Fixed",23,1,"8.Fixed",0.94163,792.97811,809.86047,0.52801,0.23766,0.52486,0.09374,NA,0.52959,NA,1.00035,NA,85,59,59,64.5,60.5,60,88,NA,65,NA,NA,7,6,6,6.5,6.5,7,6,NA,7,NA,NA,66.5,6.5
1,1,"DBH.cm",1,"Species","MixedInt",24,5,"1.MixedInt_Species",0.94171,804.66629,821.54865,0.52734,0.23736,0.52782,0.08341,0,0.52887,0.14144,-Inf,0.14144,84,61,61,63,59,61,72,26,64,28,38,5,5,5,5,5,5,4,3.5,5,5,2,66.6,5
