"size","ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"5cm",6,6,"MixedInt","Site","logDBH.cm, logHeight.m",2,"6.MixedInt_Site",-1.96787,1.93797,0.52695,NA,NA,1.85464,1.85464,NA,NA,1.85464
"5cm",4,4,"Fixed",NA,"logComp.DBH.H.Den",1,"4.Fixed",-1.81522,0.85232,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,7,"Fixed",NA,"logDBH.cm, logCanopyDiameter.m",2,"7.Fixed",-0.74019,1.71068,0.4441,NA,NA,2.90776,2.90776,NA,NA,2.90776
"5cm",6,6,"Fixed",NA,"logDBH.cm, logHeight.m",2,"6.Fixed",-1.74097,1.86257,0.51615,NA,NA,1.42357,1.42357,NA,NA,1.42357
"5cm",14,14,"Fixed",NA,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.Fixed",-0.19631,1.77388,0.34549,1.68003,NA,3.05058,3.23583,1.12023,NA,3.23583
"5cm",1,1,"MixedInt","Species","logDBH.cm",1,"1.MixedInt_Species",-1.28059,2.16089,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",1,1,"MixedInt","Site","logDBH.cm",1,"1.MixedInt_Site",-1.44479,2.21471,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,8,"MixedInt","Species","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Species",-0.24394,2.15775,3.00885,NA,NA,1.00023,1.00023,NA,NA,1.00023
"5cm",1,1,"MixedIntSlope","Species","logDBH.cm",1,"1.MixedIntSlope_Species",-1.33014,2.18705,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,8,"Fixed",NA,"logDBH.cm, logWoodDensity.g.cm3",2,"8.Fixed",-0.12722,2.09311,2.89104,NA,NA,1.00626,1.00626,NA,NA,1.00626
"5cm",1,1,"Fixed",NA,"logDBH.cm",1,"1.Fixed",-1.19187,2.11707,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",15,15,"Fixed",NA,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.Fixed",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,1.22131
"5cm",9,9,"Fixed",NA,"logHeight.m, logCanopyDiameter.m",2,"9.Fixed",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,1.1334
"5cm",5,5,"Fixed",NA,"logComp.Can.H.Den",1,"5.Fixed",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,3,"MixedIntSlope","Site","logCanopyDiameter.m",1,"3.MixedIntSlope_Site",1.43646,2.0455,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",11,11,"MixedInt","Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,1.03954
"5cm",3,3,"MixedInt","Site","logCanopyDiameter.m",1,"3.MixedInt_Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",11,11,"Fixed",NA,"logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.Fixed",1.60573,1.88486,-0.52738,NA,NA,1.06778,1.06778,NA,NA,1.06778
"5cm",3,3,"Fixed",NA,"logCanopyDiameter.m",1,"3.Fixed",1.80599,1.87045,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,2,"MixedIntSlope","Site","logHeight.m",1,"2.MixedIntSlope_Site",-3.42479,3.21897,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",10,10,"MixedInt","Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Site",-2.12203,3.0154,2.29912,NA,NA,1.00003,1.00003,NA,NA,1.00003
"5cm",2,2,"MixedInt","Species&Site","logHeight.m",1,"2.MixedInt_Species&Site",-2.98099,3.0502,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",10,10,"MixedInt","Species&Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Species&Site",-2.14181,3.04173,2.40038,NA,NA,1.00003,1.00003,NA,NA,1.00003
"5cm",10,10,"MixedIntSlope","Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Site",-2.70951,3.28666,2.56345,NA,NA,1.00105,1.00105,NA,NA,1.00105
"5cm",10,10,"MixedInt","Species","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Species",0.0351,2.18016,2.73474,NA,NA,1.00001,1.00001,NA,NA,1.00001
"5cm",2,2,"MixedInt","Site","logHeight.m",1,"2.MixedInt_Site",-2.90206,3.01115,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,2,"Fixed",NA,"logHeight.m",1,"2.Fixed",-0.63156,2.04946,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,2,"MixedInt","Species","logHeight.m",1,"2.MixedInt_Species",-0.9094,2.18405,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",10,10,"Fixed",NA,"logHeight.m, logWoodDensity.g.cm3",2,"10.Fixed",0.39058,2.04808,2.93366,NA,NA,1.00001,1.00001,NA,NA,1.00001
"5cm",1,1,"MixedIntSlope","Species&Site","logDBH.cm",1,"1.MixedIntSlope_Species&Site",-1.48399,2.25182,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,2,"MixedIntSlope","Species&Site","logHeight.m",1,"2.MixedIntSlope_Species&Site",-3.53204,3.26613,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,2,"MixedIntSlope","Species","logHeight.m",1,"2.MixedIntSlope_Species",-1.18648,2.29745,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,3,"MixedInt","Species&Site","logCanopyDiameter.m",1,"3.MixedInt_Species&Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,3,"MixedIntSlope","Species&Site","logCanopyDiameter.m",1,"3.MixedIntSlope_Species&Site",1.36527,2.083,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,3,"MixedInt","Species","logCanopyDiameter.m",1,"3.MixedInt_Species",1.74844,1.91901,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,3,"MixedIntSlope","Species","logCanopyDiameter.m",1,"3.MixedIntSlope_Species",1.67407,1.96581,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",4,4,"MixedIntSlope","Species&Site","logComp.DBH.H.Den",1,"4.MixedIntSlope_Species&Site",-2.2243,0.9121,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",4,4,"MixedInt","Species","logComp.DBH.H.Den",1,"4.MixedInt_Species",-1.81248,0.853,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedInt","Species&Site","logComp.Can.H.Den",1,"5.MixedInt_Species&Site",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedIntSlope","Species&Site","logComp.Can.H.Den",1,"5.MixedIntSlope_Species&Site",0.08433,0.91391,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedInt","Species","logComp.Can.H.Den",1,"5.MixedInt_Species",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedIntSlope","Species","logComp.Can.H.Den",1,"5.MixedIntSlope_Species",0.17735,0.89685,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedInt","Site","logComp.Can.H.Den",1,"5.MixedInt_Site",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",5,5,"MixedIntSlope","Site","logComp.Can.H.Den",1,"5.MixedIntSlope_Site",0.19006,0.89245,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",6,6,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Species&Site",-2.1508,1.97662,0.56539,NA,NA,1.10121,1.10121,NA,NA,1.10121
"5cm",6,6,"MixedIntSlope","Species","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Species",-1.56832,2.05021,0.25674,NA,NA,1.01888,1.01888,NA,NA,1.01888
"5cm",6,6,"MixedIntSlope","Site","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Site",-2.04925,1.97724,0.53736,NA,NA,1.08364,1.08364,NA,NA,1.08364
"5cm",7,7,"MixedIntSlope","Species&Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Species&Site",-1.00605,1.84153,0.37501,NA,NA,1.22593,1.22593,NA,NA,1.22593
"5cm",7,7,"MixedIntSlope","Species","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Species",-0.94414,1.80777,0.43155,NA,NA,1.38885,1.38885,NA,NA,1.38885
"5cm",7,7,"MixedIntSlope","Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Site",-1.02523,1.79208,0.4827,NA,NA,1.27237,1.27237,NA,NA,1.27237
"5cm",8,8,"MixedIntSlope","Species&Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedIntSlope_Species&Site",-0.51463,2.22779,2.63548,NA,NA,1.00024,1.00024,NA,NA,1.00024
"5cm",8,8,"MixedIntSlope","Species","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedIntSlope_Species",-0.22538,2.18687,3.2181,NA,NA,1.00131,1.00131,NA,NA,1.00131
"5cm",8,8,"MixedIntSlope","Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedIntSlope_Site",-0.31802,2.23915,3.28878,NA,NA,1,1,NA,NA,1
"5cm",9,9,"MixedInt","Species&Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedInt_Species&Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,1.31573
"5cm",9,9,"MixedIntSlope","Species&Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Species&Site",-1.56405,1.74399,1.43551,NA,NA,1.19692,1.19692,NA,NA,1.19692
"5cm",9,9,"MixedInt","Species","logHeight.m, logCanopyDiameter.m",2,"9.MixedInt_Species",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,1.1334
"5cm",9,9,"MixedIntSlope","Species","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Species",-0.9176,1.36079,1.58438,NA,NA,1.03999,1.03999,NA,NA,1.03999
"5cm",9,9,"MixedInt","Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedInt_Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,1.31573
"5cm",9,9,"MixedIntSlope","Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Site",-1.85215,1.85246,1.39483,NA,NA,1.08494,1.08494,NA,NA,1.08494
"5cm",10,10,"MixedIntSlope","Species&Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Species&Site",-2.49461,3.12715,1.92804,NA,NA,1.00095,1.00095,NA,NA,1.00095
"5cm",10,10,"MixedIntSlope","Species","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Species",-0.24619,2.33384,3.00089,NA,NA,1.00136,1.00136,NA,NA,1.00136
"5cm",11,11,"MixedInt","Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Species&Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,1.03954
"5cm",11,11,"MixedIntSlope","Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Species&Site",2.29131,2.01857,2.4351,NA,NA,1.00008,1.00008,NA,NA,1.00008
"5cm",11,11,"MixedInt","Species","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Species",1.56155,1.92299,-0.52911,NA,NA,1.02758,1.02758,NA,NA,1.02758
"5cm",11,11,"MixedIntSlope","Species","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Species",1.17372,1.976,-1.38732,NA,NA,1.02222,1.02222,NA,NA,1.02222
"5cm",11,11,"MixedIntSlope","Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Site",1.9191,1.97665,1.14699,NA,NA,1.00077,1.00077,NA,NA,1.00077
"5cm",12,12,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Species&Site",-1.79735,1.75285,0.47476,0.37026,NA,1.18927,1.05545,1.13084,NA,1.18927
"5cm",12,12,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Species",-1.34282,1.6365,0.36285,0.46399,NA,1.30811,1.05209,1.2724,NA,1.30811
"5cm",12,12,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Site",-1.77958,1.63565,0.5451,0.47428,NA,1.26743,1.06294,1.20346,NA,1.26743
"5cm",13,13,"MixedInt","Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Species&Site",-0.91882,1.97755,0.48699,3.06559,NA,1.96414,1.95967,1.00403,NA,1.96414
"5cm",13,13,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Species&Site",-0.82398,2.08217,0.39162,3.23473,NA,1.03785,1.03656,1.00385,NA,1.03785
"5cm",13,13,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Species",-0.39623,2.05272,0.24443,3.35946,NA,1.01889,1.02037,1.00147,NA,1.02037
"5cm",13,13,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Site",-0.95309,2.0557,0.43571,2.98753,NA,1.03989,1.03724,1.00359,NA,1.03989
"5cm",14,14,"MixedInt","Species&Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedInt_Species&Site",-0.40233,1.81168,0.4651,1.94905,NA,2.76246,2.86642,1.10933,NA,2.86642
"5cm",14,14,"MixedIntSlope","Species&Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedIntSlope_Species&Site",-0.40009,1.9032,0.35741,2.15395,NA,1.16311,1.20546,1.04667,NA,1.20546
"5cm",14,14,"MixedIntSlope","Species","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedIntSlope_Species",-0.45996,1.8538,0.37285,1.52002,NA,1.44244,1.51198,1.09137,NA,1.51198
"5cm",14,14,"MixedIntSlope","Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedIntSlope_Site",-0.44948,1.9142,0.34032,2.01682,NA,1.21352,1.3024,1.08729,NA,1.3024
"5cm",15,15,"MixedInt","Species&Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedInt_Species&Site",-1.18384,1.62356,1.45123,0.41189,NA,1.34492,1.40322,1.0623,NA,1.40322
"5cm",15,15,"MixedIntSlope","Species&Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedIntSlope_Species&Site",-1.49416,1.85099,1.41007,1.12446,NA,1.05059,1.0542,1.00649,NA,1.0542
"5cm",15,15,"MixedInt","Species","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedInt_Species",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,1.22131
"5cm",15,15,"MixedIntSlope","Species","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedIntSlope_Species",-0.84796,1.35886,1.58496,0.19166,NA,1.04974,1.06469,1.03042,NA,1.06469
"5cm",15,15,"MixedInt","Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedInt_Site",-1.18384,1.62356,1.45123,0.41189,NA,1.34492,1.40322,1.0623,NA,1.40322
"5cm",15,15,"MixedIntSlope","Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"15.MixedIntSlope_Site",-1.65258,1.8771,1.37157,0.66432,NA,1.08848,1.11586,1.02977,NA,1.11586
"5cm",16,16,"MixedInt","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedInt_Species&Site",-0.96456,1.59213,0.49652,0.48683,1.93119,4.2076,2.18009,2.90005,1.10914,4.2076
"5cm",16,16,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedIntSlope_Species&Site",-1.23367,1.59387,0.58584,0.47403,1.7922,1.81462,1.14518,1.71511,1.06388,1.81462
"5cm",16,16,"MixedInt","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedInt_Species",-0.92773,1.48186,0.56044,0.50553,1.63719,4.17524,1.8063,2.9818,1.01454,4.17524
"5cm",16,16,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedIntSlope_Species",-0.73645,1.6565,0.34565,0.44643,1.73336,1.30673,1.0498,1.32788,1.05168,1.32788
"5cm",16,16,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedIntSlope_Site",-1.07962,1.78979,0.45378,0.3388,2.0669,1.23057,1.06542,1.24726,1.08728,1.24726
