"size","ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"all",1,1,"MixedIntSlope","Site","logDBH.cm",1,"1.MixedIntSlope_Site",-1.0528,2.0227,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",1,1,"MixedInt","Species","logDBH.cm",1,"1.MixedInt_Species",-0.94203,1.98562,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,2,"MixedInt","Site","logHeight.m",1,"2.MixedInt_Site",-2.28225,2.59326,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",8,8,"Fixed",NA,"logDBH.cm, logWoodDensity.g.cm3",2,"8.Fixed",0.42106,1.98609,3.98719,NA,NA,1.00035,1.00035,NA,NA,1.00035
"all",3,3,"MixedInt","Species&Site","logCanopyDiameter.m",1,"3.MixedInt_Species&Site",0.68313,2.32901,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",10,10,"MixedInt","Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Site",-1.42824,2.60541,2.60408,NA,NA,1.00473,1.00473,NA,NA,1.00473
"all",10,10,"MixedInt","Species&Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Species&Site",-1.431,2.60561,2.59649,NA,NA,1.00414,1.00414,NA,NA,1.00414
"all",11,11,"MixedInt","Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Site",-0.17886,2.32808,-2.5009,NA,NA,1.00503,1.00503,NA,NA,1.00503
"all",1,1,"Fixed",NA,"logDBH.cm",1,"1.Fixed",-0.9557,1.98222,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,2,"MixedInt","Species&Site","logHeight.m",1,"2.MixedInt_Species&Site",-2.3177,2.60707,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,3,"MixedInt","Site","logCanopyDiameter.m",1,"3.MixedInt_Site",0.67717,2.31581,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,3,"MixedIntSlope","Site","logCanopyDiameter.m",1,"3.MixedIntSlope_Site",0.35029,2.49575,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",11,11,"Fixed",NA,"logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.Fixed",-0.33355,2.46944,-2.85756,NA,NA,1.00018,1.00018,NA,NA,1.00018
"all",3,3,"Fixed",NA,"logCanopyDiameter.m",1,"3.Fixed",0.64369,2.46775,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",10,10,"Fixed",NA,"logHeight.m, logWoodDensity.g.cm3",2,"10.Fixed",-1.58115,2.75831,2.90652,NA,NA,1.00775,1.00775,NA,NA,1.00775
"all",2,2,"Fixed",NA,"logHeight.m",1,"2.Fixed",-2.55667,2.74547,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",1,1,"MixedInt","Site","logDBH.cm",1,"1.MixedInt_Site",-0.941,1.9706,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,2,"MixedInt","Species","logHeight.m",1,"2.MixedInt_Species",-2.59707,2.78075,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,2,"MixedIntSlope","Species","logHeight.m",1,"2.MixedIntSlope_Species",-2.58842,2.77791,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,3,"MixedIntSlope","Species&Site","logCanopyDiameter.m",1,"3.MixedIntSlope_Species&Site",0.34413,2.51145,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,3,"MixedInt","Species","logCanopyDiameter.m",1,"3.MixedInt_Species",0.64614,2.46721,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,3,"MixedIntSlope","Species","logCanopyDiameter.m",1,"3.MixedIntSlope_Species",0.64605,2.45996,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",4,4,"MixedIntSlope","Species&Site","logComp.DBH.H.Den",1,"4.MixedIntSlope_Species&Site",-1.60467,0.81201,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",4,4,"MixedInt","Species","logComp.DBH.H.Den",1,"4.MixedInt_Species",-1.48084,0.80153,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",4,4,"MixedIntSlope","Species","logComp.DBH.H.Den",1,"4.MixedIntSlope_Species",-1.47379,0.80032,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",5,5,"MixedIntSlope","Species&Site","logComp.Can.H.Den",1,"5.MixedIntSlope_Species&Site",-0.48229,0.95402,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",5,5,"MixedInt","Species","logComp.Can.H.Den",1,"5.MixedInt_Species",-0.08203,0.89166,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",5,5,"MixedIntSlope","Species","logComp.Can.H.Den",1,"5.MixedIntSlope_Species",-0.07968,0.89043,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",5,5,"MixedInt","Site","logComp.Can.H.Den",1,"5.MixedInt_Site",-0.01478,0.86319,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",6,6,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Species&Site",-1.57948,1.82701,0.44407,NA,NA,1.29277,1.29277,NA,NA,1.29277
"all",6,6,"MixedIntSlope","Species","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Species",-1.5212,1.77697,0.5068,NA,NA,1.9426,1.9426,NA,NA,1.9426
"all",6,6,"MixedInt","Site","logDBH.cm, logHeight.m",2,"6.MixedInt_Site",-1.60198,1.68589,0.63427,NA,NA,5.822,5.822,NA,NA,5.822
"all",6,6,"MixedIntSlope","Site","logDBH.cm, logHeight.m",2,"6.MixedIntSlope_Site",-1.45153,1.83627,0.41193,NA,NA,1.08086,1.08086,NA,NA,1.08086
"all",7,7,"MixedIntSlope","Species&Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Species&Site",-0.94742,1.79227,0.47854,NA,NA,1.11699,1.11699,NA,NA,1.11699
"all",7,7,"MixedInt","Species","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Species",-0.95544,1.75004,0.52563,NA,NA,4.7005,4.7005,NA,NA,4.7005
"all",7,7,"MixedIntSlope","Species","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Species",-0.94329,1.74145,0.55393,NA,NA,1.32419,1.32419,NA,NA,1.32419
"all",7,7,"MixedIntSlope","Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedIntSlope_Site",-1.02671,1.76133,0.56419,NA,NA,1.0611,1.0611,NA,NA,1.0611
"all",8,8,"MixedInt","Species&Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Species&Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,1.00291
"all",8,8,"MixedIntSlope","Species&Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedIntSlope_Species&Site",0.39738,2.02438,4.08442,NA,NA,1.00003,1.00003,NA,NA,1.00003
"all",8,8,"MixedInt","Species","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Species",0.42106,1.98609,3.98719,NA,NA,1.00035,1.00035,NA,NA,1.00035
"all",8,8,"MixedIntSlope","Species","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedIntSlope_Species",0.30373,2.03912,3.88848,NA,NA,1.00003,1.00003,NA,NA,1.00003
"all",8,8,"MixedInt","Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,1.00291
"all",9,9,"MixedIntSlope","Species&Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Species&Site",-1.50689,1.6693,1.30292,NA,NA,1.04234,1.04234,NA,NA,1.04234
"all",9,9,"MixedInt","Species","logHeight.m, logCanopyDiameter.m",2,"9.MixedInt_Species",-0.97649,1.40076,1.34896,NA,NA,4.99639,4.99639,NA,NA,4.99639
"all",9,9,"MixedIntSlope","Species","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Species",-1.07134,1.45662,1.28764,NA,NA,1.02035,1.02035,NA,NA,1.02035
"all",9,9,"MixedIntSlope","Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedIntSlope_Site",-1.64582,1.68718,1.30155,NA,NA,1.01832,1.01832,NA,NA,1.01832
"all",10,10,"MixedIntSlope","Species&Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Species&Site",-1.50905,2.63145,2.38091,NA,NA,1.00034,1.00034,NA,NA,1.00034
"all",10,10,"MixedInt","Species","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedInt_Species",-1.57066,2.78047,3.0027,NA,NA,1.00092,1.00092,NA,NA,1.00092
"all",10,10,"MixedIntSlope","Species","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Species",-0.74771,2.77653,5.3732,NA,NA,1.00217,1.00217,NA,NA,1.00217
"all",10,10,"MixedIntSlope","Site","logHeight.m, logWoodDensity.g.cm3",2,"10.MixedIntSlope_Site",-2.0535,2.96807,2.31662,NA,NA,1.00053,1.00053,NA,NA,1.00053
"all",11,11,"MixedInt","Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Species&Site",-0.17887,2.32808,-2.50091,NA,NA,1.00503,1.00503,NA,NA,1.00503
"all",11,11,"MixedIntSlope","Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Species&Site",-0.1318,2.32574,-2.38348,NA,NA,1.00197,1.00197,NA,NA,1.00197
"all",11,11,"MixedInt","Species","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedInt_Species",-0.32545,2.46783,-2.84034,NA,NA,1.00006,1.00006,NA,NA,1.00006
"all",11,11,"MixedIntSlope","Species","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Species",0.09435,2.45975,-1.61386,NA,NA,1.00001,1.00001,NA,NA,1.00001
"all",11,11,"MixedIntSlope","Site","logCanopyDiameter.m, logWoodDensity.g.cm3",2,"11.MixedIntSlope_Site",-0.28518,2.51464,-1.83216,NA,NA,1.00007,1.00007,NA,NA,1.00007
"all",12,12,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Species&Site",-1.49553,1.47123,0.54058,0.54091,NA,1.20591,1.07882,1.1279,NA,1.20591
"all",12,12,"MixedInt","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Species",-1.53275,1.14523,0.83479,0.71685,NA,11.78256,5.53578,5.08383,NA,11.78256
"all",12,12,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Species",-1.48124,1.15627,0.7867,0.73589,NA,2.24959,1.51105,1.62061,NA,2.24959
"all",12,12,"MixedInt","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Site",-1.60404,1.10131,0.89054,0.7752,NA,8.99462,5.27067,3.5391,NA,8.99462
"all",12,12,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedIntSlope_Site",-1.44736,1.37343,0.57953,0.63691,NA,1.30532,1.09568,1.20668,NA,1.30532
"all",13,13,"MixedInt","Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Species&Site",-0.57014,1.70806,0.61697,3.06351,NA,5.82915,5.82021,1.00401,NA,5.82915
"all",13,13,"MixedIntSlope","Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Species&Site",-0.57289,1.83083,0.45588,2.90015,NA,1.1247,1.1243,1.00045,NA,1.1247
"all",13,13,"MixedInt","Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Species",-0.50769,1.74922,0.55988,3.10809,NA,5.05013,5.04648,1.00207,NA,5.05013
"all",13,13,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Species",-0.4025,1.76901,0.51608,3.28791,NA,2.08617,2.08434,1.00134,NA,2.08617
"all",13,13,"MixedInt","Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Site",-0.57014,1.70806,0.61697,3.06351,NA,5.82915,5.82021,1.00401,NA,5.82915
"all",13,13,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedIntSlope_Site",-0.56112,1.82255,0.46167,2.90987,NA,1.14747,1.14694,1.00065,NA,1.14747
