"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"5cm",1,"logDBH.cm",1,1,204,"Site","MixedIntSlope",13,1,"1.MixedIntSlope_Site",0.94689,97.17797,117.08669,7.35623802343225,14.2443952479405,34.627026466497,35.2325005644504,0.27852,0.29181,0.039,0,0.28398,0.3898,-Inf,37,42,39,39,23,6,40,12,15,33,15,33,2,3,3,3,3,1,3,2,2,2,2,2,34.3333333333333,2.5
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,"Site","MixedInt",14,1,"8.MixedInt_Site",0.94736,85.9916,102.5822,8.6059898687771,16.6643766555879,46.1306772710045,46.9372995270526,0.2758,0.28183,0.0629,0,0.2795,0.38952,1.00054,35.5,34,26,36.5,19,43,36.5,13,28,47,28,47,3.5,2,2,3.5,2,2,3.5,1,2,4,2,4,34.5,2.83333333333333
"5cm",1,"logDBH.cm",1,1,204,"Species&Site","MixedInt",15,2,"1.MixedInt_Species&Site",0.94593,94.40003,110.99063,8.44060011746005,16.3441209786761,46.7837421277586,47.6017836102145,0.27603,0.28465,0.04486,0,0.28105,0.48967,-Inf,38,39,33,38,21,13,38,3,33,45,33,45,3,2,2,2,2,3,2,1,3,4,3,4,37.6666666666667,2.66666666666667
"5cm",4,"logComp.DBH.H.Den",4,1,204,"Species&Site","MixedInt",16,2,"4.MixedInt_Species&Site",0.94289,94.37097,110.96157,7.64747119315478,14.8083302872397,52.8358769956002,53.7597436462479,0.28039,0.28898,0.05105,0,0.28506,0.29417,-Inf,41,38,32,40,22,23,42,17,45,34,45,34,3,3,3,3,3,5,3,2,6,3,6,3,38.6666666666667,3.5
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Species","MixedInt",17,3,"7.MixedInt_Species",0.93885,95.37374,111.96434,6.63363220792687,12.8451633563497,58.9954893945539,60.0270605217788,0.28901,0.29282,0.05897,0,0.29108,0.28468,2.80758,45,40,34,44,24,37,44.5,19,52,17,52,17,6,5,5,6,3,4,6,3,5,3,5,3,38.75,5
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,"Species","MixedInt",18,2,"14.MixedInt_Species",0.93982,96.50317,116.41189,6.7432542683665,13.0574321752517,59.0993444607561,60.1327315554187,0.28904,0.29327,0.04236,0,0.29108,0.2269,2.82339,43,41,37,45,25,7,44.5,25,53,21,53,21,6,5,5,6,3,2,6,2,5,4,5,4,39.9166666666667,5.16666666666667
"5cm",6,"logDBH.cm, logHeight.m",6,2,204,"Species","MixedInt",19,2,"6.MixedInt_Species",0.93469,98.94511,115.53571,9.0352895014384,17.495659388412,54.7518766907315,55.7092457325883,0.29225,0.29979,0.05668,0,0.29431,0.22326,1.64384,50,46,36,46,28,34,46,26,49,51,49,51,5,5,3,5,2,5,5,2,6,5,6,5,46.3333333333333,4.83333333333333
"5cm",4,"logComp.DBH.H.Den",4,1,204,"Site","MixedInt",20,3,"4.MixedInt_Site",0.93556,109.59405,122.86653,8.30766074752067,16.0867012318712,55.0463229952639,56.0088406054162,0.29914,0.30363,0.04556,0,0.30255,0.14271,-Inf,48,49,42,50,30,14,50,30,50,44,50,44,4,4,4,4,4,4,4,3,7,4,7,4,47.1666666666667,4.5
"5cm",6,"logDBH.cm, logHeight.m",6,2,204,"Site","MixedInt",21,3,"6.MixedInt_Site",0.93115,122.68083,139.27143,8.03072295754098,15.550447330489,52.8550382545093,53.7792399511352,0.30744,0.31678,0.05117,0,0.31094,0.1409,1.85464,51,54,50,53,37,24,53,31,46,39,46,39,6,6,6,6,3,3,6,3,5,4,5,4,48.8333333333333,5.5
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,204,NA,"Fixed",22,2,"13.Fixed",0.92983,100.04036,116.63096,10.2179483561883,19.7857239726292,54.1557095193865,55.1026542246157,0.30172,0.30451,0.06495,NA,0.30472,NA,1.42423,53,47,38,51,31,45,51,NA,47,58,47,58,7,7,5,7,4,4,7,NA,6,7,6,7,49,6.5
"5cm",1,"logDBH.cm",1,1,204,"Site","MixedInt",23,4,"1.MixedInt_Site",0.93032,133.13196,146.40444,8.2622837781616,15.9988346505228,50.7939474417326,51.6821097428916,0.31307,0.31995,0.04799,0,0.3171,0.28988,-Inf,52,59,56,57,38.5,20,57,18,41,42,41,42,5,6,6,6,6,5,6,4,4,3,4,3,51.1666666666667,5
"5cm",1,"logDBH.cm",1,1,204,"Species","MixedIntSlope",24,3,"1.MixedIntSlope_Species",0.93572,116.40032,136.30904,10.2814264629129,19.9086410450371,64.4160939321597,65.5424475451387,0.29849,0.3067,0.05889,0,0.30219,0.32138,-Inf,47,50,47,49,33,36,49,16,58,59,58,59,4,4,4,4,4,6,4,3,5,7,5,7,51.6666666666667,4.66666666666667
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,NA,"Fixed",25,4,"7.Fixed",0.91195,144.36423,157.63671,6.65818342528151,12.8927035858398,65.1515021815234,66.2907148439748,0.338,0.33793,0.05569,NA,0.34051,NA,2.90776,61,61,61,61,44,31,61,NA,60,18,60,18,7,7,7,7,6,2,7,NA,7,4,7,4,53.6666666666667,6.5
"5cm",4,"logComp.DBH.H.Den",4,1,204,NA,"Fixed",26,4,"4.Fixed",0.9178,128.33913,138.29349,10.4612452157963,20.256836601095,50.9836692082092,51.875148906995,0.32658,0.32666,0.03725,NA,0.32819,NA,-Inf,59,57,49,59,40,5,58,NA,42,61,42,61,7,7,6,7,7,2,7,NA,4,6,4,6,54.3333333333333,6.16666666666667
"5cm",1,"logDBH.cm",1,1,204,"Species","MixedInt",27.5,5,"1.MixedInt_Species",0.92844,123.31591,136.58839,9.43180523542012,18.2634603783843,67.5690370624584,68.7505217563452,0.31111,0.31528,0.04317,0,0.31333,0.27675,-Inf,55,55,48,54,35,10,54,20,67,54,67,54,6,5,5,5,5,2,5,5,6,6,6,6,55.5,5.5
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,"Species","MixedInt",27.5,2,"8.MixedInt_Species",0.92949,123.54927,140.13987,8.89513131582438,17.2242613468096,67.7506315481201,68.9352915293075,0.31118,0.31995,0.07053,0,0.31334,0.17005,1.00023,54,56,51,55,38.5,53,55,29,69,48,69,48,6,6,4,6,4,5,6,2,6,5,6,5,55.5,5.5
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,NA,"Fixed",29,3,"14.Fixed",0.91787,132.16269,148.75329,8.92625295716355,17.2845243451775,66.7296275153259,67.8964346353569,0.32644,0.32755,0.0506,NA,0.32968,NA,3.23583,58,58,58,58,41,22,59,NA,63,49,63,49,7,7,6,7,4,3,7,NA,7,7,7,7,57.5,6.83333333333333
"5cm",6,"logDBH.cm, logHeight.m",6,2,204,NA,"Fixed",30,4,"6.Fixed",0.916,134.75976,148.03224,10.5823977128289,20.4914326062148,56.3983206299811,57.3844787207593,0.33014,0.33108,0.05594,NA,0.33259,NA,1.42357,60,60,57,60,43,32,60,NA,51,63,51,63,7,7,7,7,4,4,7,NA,7,7,7,7,58.5,7
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,NA,"Fixed",31,3,"8.Fixed",0.9105,147.69131,160.96379,8.96173076265894,17.3532224871349,75.7638340732073,77.0886096538468,0.34077,0.34126,0.05905,NA,0.3433,NA,1.00626,62,62,62,62,45,38,62,NA,91,50,91,50,7,7,7,7,5,1,7,NA,7,6,7,6,64.8333333333333,6.83333333333333
"5cm",1,"logDBH.cm",1,1,204,NA,"Fixed",32,6,"1.Fixed",0.8984,171.56376,181.51812,9.36237348746463,18.1290148564364,76.1168584131097,77.4478068337407,0.36308,0.3619,0.05931,NA,0.36487,NA,-Inf,63,63,63,63,47,39,63,NA,92,53,92,53,7,7,7,7,7,7,7,NA,7,5,7,5,66.1666666666667,6.66666666666667
"5cm",9,"logHeight.m, logCanopyDiameter.m",9,2,204,NA,"Fixed",33,1,"9.Fixed",0.84437,260.55266,273.82514,16.5842266362923,32.1131913263663,68.4617486815993,69.6588429676887,0.44936,0.45306,0.09713,NA,0.4527,NA,1.1334,78,66,64,77.5,54,71,76,NA,73,81,73,81,7,3,1,6.5,3,6,7,NA,4,6,4,6,73,4.66666666666667
"5cm",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,NA,"Fixed",34,1,"15.Fixed",0.84451,262.37465,278.96525,16.7585973223158,32.4508374116971,68.3073442948052,69.5017387286014,0.44916,0.44406,0.12702,NA,0.45363,NA,1.22131,77,70,66,75.5,50,91,78,NA,71,83,71,83,7,3,1,6.5,1,5,7,NA,4,7,4,7,74.1666666666667,4.83333333333333
"5cm",5,"logComp.Can.H.Den",5,1,204,NA,"Fixed",35,1,"5.Fixed",0.82266,285.1924,295.14676,16.0021179805311,30.9860138555588,69.4945262321336,70.7096792463208,0.47968,0.48017,0.08104,NA,0.48205,NA,-Inf,84,81,73,83.5,65,60,84,NA,78,80,78,80,7,4,1,6.5,5,4,7,NA,4,7,4,7,80,5
"5cm",3,"logCanopyDiameter.m",3,1,204,"Site","MixedIntSlope",36,1,"3.MixedIntSlope_Site",0.80282,368.55576,388.46448,18.9498837252555,36.6939776588566,68.7325689295363,69.9343986683069,0.53877,0.56182,0.11153,0,0.55062,0.32289,-Inf,89,85,86,88,68,82,88,15,76,88,76,88,2,1,2,2,1,6,2,1,2,2,2,2,85.3333333333333,1.83333333333333
"5cm",3,"logCanopyDiameter.m",3,1,204,"Site","MixedInt",37,2,"3.MixedInt_Site",0.76678,371.07509,384.34757,19.3609794897911,37.4900109759062,71.916939283807,73.1744496271386,0.56303,0.58081,0.08285,0,0.57006,0.23799,-Inf,97.5,87,85,91.5,71,62,91.5,24,88,90,88,90,3.5,3,1,3.5,4,2,3.5,2,4,4,4,4,89.8333333333333,3.16666666666667
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,"Site","MixedInt",38,1,"11.MixedInt_Site",0.76718,372.5347,389.1253,19.9637794701463,38.6572544974289,72.16382787609,73.425655212908,0.56218,0.58624,0.06621,0,0.56922,0.2403,1.03954,95.5,88,87,89.5,72,47,89.5,22,89,92,89,92,3.5,1,1,3.5,1,2,3.5,1,3,4,3,4,90.1666666666667,2.66666666666667
"5cm",3,"logCanopyDiameter.m",3,1,204,NA,"Fixed",39,3,"3.Fixed",0.69891,393.17753,403.13189,23.3339081965978,45.1830691139623,83.1942666213281,84.6489677226827,0.62502,0.63133,0.0664,NA,0.62811,NA,-Inf,106,93,91,98,79,48,97,NA,95,98,95,98,7,5,5,7,7,1,7,NA,6,7,6,7,96.6666666666667,6.16666666666667
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,NA,"Fixed",40,2,"11.Fixed",0.69952,394.76236,408.03484,23.6895000249877,45.8716262996312,83.3866564429859,84.8447215944947,0.62438,0.63269,0.04302,NA,0.62903,NA,1.06778,105,95,94,97,80,9,98,NA,96,99,96,99,7,5,4,7,5,1,7,NA,6,6,6,6,97.8333333333333,5.83333333333333
"5cm",2,"logHeight.m",2,1,204,"Species&Site","MixedInt",41,1,"2.MixedInt_Species&Site",0.7688,453.26445,469.85505,23.8698356831698,46.2208227753651,105.313510178248,107.15497937397,0.66865,0.68268,0.15599,0,0.68051,0.43563,-Inf,93,103,101,103,84,95,103,6,109,101,109,101,3,3,2,3,3,5,3,1,6,3,6,3,101.666666666667,3.33333333333333
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Species&Site","MixedInt",42,1,"10.MixedInt_Species&Site",0.76731,453.52751,473.43623,24.608453369203,47.6510595653469,105.799153241907,107.649114194672,0.66937,0.69814,0.11728,0,0.68057,0.41231,1.00003,94,104,102,104,89,84,104,10,110,102,110,102,3,3,2,3,3,2,3,2,6,1,6,1,102.666666666667,3
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Site","MixedInt",43,2,"10.MixedInt_Site",0.76624,452.42235,469.01295,24.891586761271,48.1993104419038,107.586999914021,109.46822242637,0.67555,0.69546,0.11953,0,0.68473,0.42779,1.00003,99,102,100,105,88,85,105,9,111,104,111,104,4,2,1,4,2,3,4,1,7,3,7,3,103.5,3.5
"5cm",2,"logHeight.m",2,1,204,"Site","MixedInt",44,2,"2.MixedInt_Site",0.75637,460.54678,473.81926,23.2028715710417,44.9293337834264,108.800604700706,110.70304781264,0.69236,0.69411,0.1839,0,0.70178,0.43186,-Inf,100,105,104,106,87,99,106,7,112,97,112,97,4,4,4,4,4,7,4,2,7,2,7,2,104,4.16666666666667
"5cm",2,"logHeight.m",2,1,204,"Species","MixedInt",45,3,"2.MixedInt_Species",0.55537,497.37741,510.64989,27.6723210201864,53.5838395636244,98.8554908673208,100.584037764599,0.78131,0.78968,0.12123,0,0.78675,0.18101,-Inf,109,108,106,109,95,86,109,28,105,108,105,108,6,6,5,6,6,2,6,3,4,5,4,5,107.5,5.33333333333333
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Species","MixedInt",46,3,"10.MixedInt_Species",0.55451,498.54005,515.13065,28.1616307304903,54.5313239829732,98.6687532258056,100.394034904652,0.78148,0.78485,0.12593,0,0.78679,0.13961,1.00001,110,109,108,110,94,90,110,32,103,109,103,109,6,5,4,6,4,5,6,3,2,6,2,6,108.166666666667,4.83333333333333
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,NA,"Fixed",47,4,"10.Fixed",0.45099,517.721,530.99348,34.5809057640757,66.9614126359453,103.071587152386,104.873854994128,0.84398,0.85063,0.12274,NA,0.85026,NA,1.00001,111,111,110,111,96,89,111,NA,107,111,107,111,7,7,6,7,5,4,7,NA,5,7,5,7,110.166666666667,6.5
"5cm",2,"logHeight.m",2,1,204,NA,"Fixed",48,4,"2.Fixed",0.4161,528.29214,538.2465,37.9118163936856,73.4112865242828,104.55837082455,106.386635960735,0.87039,0.8701,0.14059,NA,0.87469,NA,-Inf,112,112,112,112,98,94,112,NA,108,112,108,112,7,7,7,7,7,4,7,NA,5,7,5,7,111.333333333333,6.66666666666667
