"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"all",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,NA,"Fixed",14,3,"14.Fixed",0.96188,376.75093,395.88093,2.05892410733198,12.756654940099,54.7596751784938,90.9030652580096,0.41561,0.41641,0.07988,NA,0.41808,NA,4.94725,50,41,37,47,30,49,47,NA,76,14,76,14,7,7,5,7,4,3,7,NA,7,5,7,5,44.1666666666667,6.33333333333333
"all",4,"logComp.DBH.H.Den",4,1,339,"Site","MixedInt",15,3,"4.MixedInt_Site",0.96259,382.06462,397.36862,2.76640792469347,17.1400738828591,47.1885960361686,78.3347967446376,0.4092,0.41325,0.06911,0,0.4124,0.11461,-Inf,46,43,39,40,25,32,42,24,49,50,49,50,4,4,4,4,4,5,4,3,7,3,7,3,44.8333333333333,4.33333333333333
"all",6,"logDBH.cm, logHeight.m",6,2,339,"Species","MixedInt",16,2,"6.MixedInt_Species",0.96207,384.91382,404.04382,2.81767148052024,17.4576919487003,40.902764981631,67.900087103119,0.41353,0.41614,0.07363,0,0.41527,0.13341,5.482,49,44,44,46,29,40,45,20,35,53,35,53,5,4,4,5,3,3,5,2,3,4,3,4,45,4.16666666666667
"all",1,"logDBH.cm",1,1,339,"Species&Site","MixedInt",17,2,"1.MixedInt_Species&Site",0.96127,409.98266,429.11266,2.23009899740145,13.8172180755976,48.0181627990999,79.7119079371495,0.42009,0.4219,0.08944,0,0.42453,0.22317,-Inf,51,54,52,52,33,63.5,50,10,52,18,52,18,3,3,3,3,3,6.5,3,2,3,2,3,2,46.1666666666667,2.83333333333333
"all",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,339,"Site","MixedInt",18,1,"8.MixedInt_Site",0.96107,404.26475,423.39475,2.65327175669176,16.4391062992054,47.0338753594615,78.0779547577992,0.42188,0.41999,0.10608,0,0.42515,0.10635,1.00291,55,50,49,54,32,78,52,27,47,44,47,44,4,2,2,4,1,6,4,2,2,6,2,6,49.5,3.33333333333333
"all",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,339,"Species&Site","MixedInt",19,2,"8.MixedInt_Species&Site",0.96117,406.1647,429.1207,2.69346992128271,16.6881655593724,47.3205484498647,78.5538425814522,0.42101,0.42682,0.06249,0,0.42466,0.10697,1.00291,53,51,53,53,35,24,51,26,50,46,50,46,3,3,3,3,2,1,3,1,3,7,3,7,50.6666666666667,3.66666666666667
"all",7,"logDBH.cm, logCanopyDiameter.m",7,2,339,NA,"Fixed",20,3,"7.Fixed",0.95908,398.7948,414.0988,2.57202497383062,15.9357185491364,52.9250774069136,87.8575658022777,0.43061,0.43015,0.06729,NA,0.43253,NA,4.55624,59,49,46,59,37,31,58,NA,67,37,67,37,7,7,7,7,5,1,7,NA,7,6,7,6,52.6666666666667,6.83333333333333
"all",4,"logComp.DBH.H.Den",4,1,339,NA,"Fixed",21,4,"4.Fixed",0.95778,407.39294,418.87094,3.36592733615911,20.8545683776897,40.4660522135983,67.175127922443,0.4374,0.43445,0.08092,NA,0.43869,NA,-Inf,61,52,48,61,39,53,60,NA,34,63,34,63,7,7,7,7,7,6,7,NA,5,7,5,7,53,6.66666666666667
"all",1,"logDBH.cm",1,1,339,"Species","MixedIntSlope",22,3,"1.MixedIntSlope_Species",0.9592,422.53464,445.49064,2.60895262037779,16.1645143765662,50.2746152723194,83.4577016394691,0.43037,0.43163,0.08944,0,0.43385,0.17297,-Inf,58,57,57,58,38,63.5,59,18,56,40,56,40,4,4,4,4,4,6.5,4,3,5,5,5,5,54.5,4.33333333333333
"all",6,"logDBH.cm, logHeight.m",6,2,339,NA,"Fixed",23,3,"6.Fixed",0.95571,425.66347,440.96747,3.23798564366462,20.0618689198551,42.6205922048379,70.7517431741997,0.44802,0.44533,0.07851,NA,0.45002,NA,5.04598,64,58,55,66,43,47,64,NA,39,62,39,62,7,7,7,7,5,4,7,NA,5,7,5,7,57,6.66666666666667
