"size","ModelN","Model","NumObservations","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"all",8,"logDBH.cm, logWoodDensity.g.cm3",339,"Site","MixedInt",18,0.96107,404.26475,423.39475,2.65327175669176,16.4391062992054,47.0338753594615,78.0779547577992,0.42188,0.41999,0.10608,0,0.42515,0.10635,"8.MixedInt_Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,1.00291
"all",8,"logDBH.cm, logWoodDensity.g.cm3",339,"Species&Site","MixedInt",19,0.96117,406.1647,429.1207,2.69346992128271,16.6881655593724,47.3205484498647,78.5538425814522,0.42101,0.42682,0.06249,0,0.42466,0.10697,"8.MixedInt_Species&Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,1.00291
"all",7,"logDBH.cm, logCanopyDiameter.m",339,NA,"Fixed",20,0.95908,398.7948,414.0988,2.57202497383062,15.9357185491364,52.9250774069136,87.8575658022777,0.43061,0.43015,0.06729,NA,0.43253,NA,"7.Fixed",-0.90458,1.69137,0.59685,NA,NA,4.55624,4.55624,NA,NA,4.55624
"all",4,"logComp.DBH.H.Den",339,NA,"Fixed",21,0.95778,407.39294,418.87094,3.36592733615911,20.8545683776897,40.4660522135983,67.175127922443,0.4374,0.43445,0.08092,NA,0.43869,NA,"4.Fixed",-1.48191,0.80078,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",1,"logDBH.cm",339,"Species","MixedIntSlope",22,0.9592,422.53464,445.49064,2.60895262037779,16.1645143765662,50.2746152723194,83.4577016394691,0.43037,0.43163,0.08944,0,0.43385,0.17297,"1.MixedIntSlope_Species",-1.02525,2.03848,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",6,"logDBH.cm, logHeight.m",339,NA,"Fixed",23,0.95571,425.66347,440.96747,3.23798564366462,20.0618689198551,42.6205922048379,70.7517431741997,0.44802,0.44533,0.07851,NA,0.45002,NA,"6.Fixed",-1.56799,1.73798,0.56602,NA,NA,5.04598,5.04598,NA,NA,5.04598
"all",8,"logDBH.cm, logWoodDensity.g.cm3",339,NA,"Fixed",24,0.95561,426.42836,441.73236,2.30929290577896,14.3078866529056,63.0937602650906,104.737951568479,0.44853,0.4447,0.09267,NA,0.45052,NA,"8.Fixed",0.42106,1.98609,3.98719,NA,NA,1.00035,1.00035,NA,NA,1.00035
"all",1,"logDBH.cm",339,"Species","MixedInt",25,0.95643,432.29358,447.59758,2.49792268519846,15.4765965625679,58.0266021659146,96.326283642024,0.44493,0.44552,0.0763,0,0.44679,0.12425,"1.MixedInt_Species",-0.94203,1.98562,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",9,"logHeight.m, logCanopyDiameter.m",339,"Site","MixedInt",26,0.95501,452.62173,471.75173,3.88374512496606,24.0628570320078,59.3968798773012,98.6009948015359,0.45022,0.46051,0.05403,0,0.45397,0.19636,"9.MixedInt_Site",-1.03097,1.53023,1.13811,NA,NA,3.50562,3.50562,NA,NA,3.50562
"all",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",339,"Site","MixedInt",27,0.95545,451.55225,474.50825,4.25833365469951,26.3837277242845,59.4327358778501,98.6605170749454,0.44796,0.45727,0.04892,0,0.4517,0.20556,"15.MixedInt_Site",-0.89906,1.5439,1.12547,0.42978,NA,3.72773,3.72678,1.06903,NA,3.72773
"all",9,"logHeight.m, logCanopyDiameter.m",339,"Species&Site","MixedInt",28,0.95518,454.13851,477.09451,4.03456205576853,24.9972865908831,59.1684081413519,98.2217233567198,0.44855,0.46066,0.06928,0,0.45285,0.20247,"9.MixedInt_Species&Site",-1.03646,1.54185,1.1273,NA,NA,3.5983,3.5983,NA,NA,3.5983
"all",1,"logDBH.cm",339,NA,"Fixed",29,0.94947,468.35014,479.82814,3.00854858891757,18.6403258297247,61.7801906206505,102.55737787588,0.47854,0.47636,0.07775,NA,0.47996,NA,"1.Fixed",-0.9557,1.98222,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",9,"logHeight.m, logCanopyDiameter.m",339,NA,"Fixed",30,0.94848,476.8979,492.20191,4.45765322843282,27.6186693211451,53.2547430291408,88.4048228024874,0.48319,0.48504,0.04853,NA,0.48534,NA,"9.Fixed",-0.97649,1.40076,1.34896,NA,NA,4.99639,4.99639,NA,NA,4.99639
"all",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",339,NA,"Fixed",31,0.94874,477.16953,496.29953,4.71505471590748,29.2134740762545,53.0288596696806,88.02984815739,0.48196,0.48552,0.06114,NA,0.48483,NA,"15.Fixed",-0.8747,1.40968,1.34165,0.3278,NA,5.32366,5.27264,1.0657,NA,5.32366
"all",5,"logComp.Can.H.Den",339,NA,"Fixed",32,0.92471,603.52251,615.00051,5.16678344635836,32.0122890108944,52.9069084994689,87.827404750852,0.58413,0.57664,0.11889,NA,0.58586,NA,"5.Fixed",-0.08245,0.89199,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,"logHeight.m",339,"Species&Site","MixedIntSlope",33,0.92313,714.71267,749.14667,7.38637045984694,45.7643770746403,72.8751872136484,120.975478349325,0.63112,0.65024,0.09755,0,0.64085,0.68267,"2.MixedIntSlope_Species&Site",-2.83366,2.96589,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,"logHeight.m",339,"Site","MixedIntSlope",34,0.91092,728.66423,751.62023,7.73790991944736,47.9424406409378,76.2687590936753,126.608931890864,0.66056,0.67597,0.0639,0,0.66809,0.61129,"2.MixedIntSlope_Site",-2.74473,2.93227,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,"logHeight.m",339,"Species&Site","MixedInt",35,0.90298,728.75651,747.88651,7.32956004820685,45.4123918724092,83.099905326305,137.948884689117,0.66166,0.67629,0.08902,0,0.66921,0.5494,"2.MixedInt_Species&Site",-2.3177,2.60707,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",10,"logHeight.m, logWoodDensity.g.cm3",339,"Site","MixedInt",36,0.90322,723.16767,742.29767,8.09879486352402,50.1784068371996,83.5362154333185,138.673175437761,0.66179,0.68113,0.05434,0,0.66763,0.53847,"10.MixedInt_Site",-1.42824,2.60541,2.60408,NA,NA,1.00473,1.00473,NA,NA,1.00473
"all",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",339,"Site","MixedInt",37,0.84144,872.50673,891.63673,7.10572332269001,44.0255472285626,78.7233538679303,130.683649065843,0.84153,0.86024,0.08489,0,0.84806,0.10768,"11.MixedInt_Site",-0.17886,2.32808,-2.5009,NA,NA,1.00503,1.00503,NA,NA,1.00503
"all",2,"logHeight.m",339,"Site","MixedInt",39,0.89766,739.56683,754.87083,8.44213992387721,52.3056996522751,84.630746577749,140.490137202505,0.68011,0.68624,0.07676,0,0.68611,0.53382,"2.MixedInt_Site",-2.28225,2.59326,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,"logCanopyDiameter.m",339,"Species&Site","MixedInt",39,0.84158,875.59879,894.7288,7.1759314489178,44.4605418148562,76.9157292997409,127.682926115086,0.84246,0.84807,0.18071,0,0.85015,0.11584,"3.MixedInt_Species&Site",0.68313,2.32901,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,"logCanopyDiameter.m",339,"Site","MixedInt",39,0.83923,874.37574,889.67974,7.2236876358169,44.756428970365,76.9311843532036,127.708582069562,0.84647,0.85482,0.11265,0,0.85302,0.10612,"3.MixedInt_Site",0.67717,2.31581,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",2,"logHeight.m",339,"Species","MixedInt",41,0.83549,879.77284,895.07685,9.77265591135804,60.5492931310907,86.1275635968948,142.974908244831,0.86065,0.8656,0.10579,0,0.86427,0.13,"2.MixedInt_Species",-2.59707,2.78075,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",3,"logCanopyDiameter.m",339,NA,"Fixed",42.5,0.82228,894.66451,906.14251,8.15945541227078,50.5542466683444,76.5101347727765,127.009624353658,0.89743,0.89755,0.11123,NA,0.90009,NA,"3.Fixed",0.64369,2.46775,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",339,NA,"Fixed",42.5,0.82398,893.42297,908.72697,8.19088713857103,50.7489909452976,76.7157084074783,127.350884112225,0.89315,0.89527,0.12832,NA,0.89712,NA,"11.Fixed",-0.33355,2.46944,-2.85756,NA,NA,1.00018,1.00018,NA,NA,1.00018
"all",10,"logHeight.m, logWoodDensity.g.cm3",339,NA,"Fixed",44,0.81974,901.49353,916.79753,12.9321835779336,80.1250531470484,85.4596661006713,141.86617395291,0.90384,0.90133,0.13187,NA,0.90787,NA,"10.Fixed",-1.58115,2.75831,2.90652,NA,NA,1.00775,1.00775,NA,NA,1.00775
"all",2,"logHeight.m",339,NA,"Fixed",45,0.81115,915.26212,926.74012,13.8757124318314,85.9709568267126,86.6324455560374,143.813030778062,0.92511,0.92287,0.12143,NA,0.92785,NA,"2.Fixed",-2.55667,2.74547,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",204,"Site","MixedInt",1,0.96152,18.56644,41.79328,5.94089740071832,11.5037727753962,38.4316767229743,39.1036773875187,0.23236,0.23913,0.04286,0,0.2354,0.33031,"16.MixedInt_Site",-0.96456,1.59213,0.49652,0.48683,1.93119,4.2076,2.18009,2.90005,1.10914,4.2076
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",204,"Species&Site","MixedInt",2,0.9605,26.44317,49.67001,6.16521606158386,11.9381365978662,38.5859725425781,39.260671161054,0.23248,0.24311,0.06067,0,0.23662,0.42893,"12.MixedInt_Species&Site",-1.61483,1.58825,0.49111,0.49523,NA,4.22674,2.24153,2.77134,NA,4.22674
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",204,"Site","MixedInt",3,0.95921,40.43938,60.3481,6.75378754913715,13.0778284993071,33.8735949559735,34.4658948570422,0.24363,0.25484,0.03684,0,0.24702,0.51768,"14.MixedInt_Site",-0.40233,1.81168,0.4651,1.94905,NA,2.76246,2.86642,1.10933,NA,2.86642
"5cm",7,"logDBH.cm, logCanopyDiameter.m",204,"Species&Site","MixedInt",4,0.95805,47.25437,67.16309,6.33921028485625,12.2750537121923,34.8025878071277,35.4111316992622,0.24367,0.25461,0.05629,0,0.24818,0.55404,"7.MixedInt_Species&Site",-1.06138,1.80439,0.47542,NA,NA,2.74967,2.74967,NA,NA,2.74967
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",204,"Species","MixedInt",5,0.94958,47.59758,67.5063,6.33208119883908,12.2612491671705,46.3952157250395,47.2064635928763,0.25688,0.25973,0.0533,0,0.25867,0.18417,"12.MixedInt_Species",-1.48027,1.48581,0.54903,0.51243,NA,4.17384,1.83282,2.93106,NA,4.17384
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",204,"Site","MixedInt",6,0.95357,49.36321,69.27192,6.85373917795401,13.2713717889625,40.3758968807657,41.0818933880487,0.25302,0.26282,0.05677,0,0.25622,0.25901,"12.MixedInt_Site",-1.57088,1.49516,0.515,0.59873,NA,4.0083,2.14649,2.62591,NA,4.0083
"5cm",4,"logComp.DBH.H.Den",204,"Site","MixedIntSlope",7,0.95602,68.29808,88.2068,7.1491852239821,13.8434645136214,39.6452828471061,40.3385041346223,0.25256,0.26335,0.06481,0,0.25899,0.44831,"4.MixedIntSlope_Site",-2.21609,0.91057,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,"logDBH.cm, logCanopyDiameter.m",204,"Site","MixedInt",8,0.95166,69.00058,85.59118,8.29682258743097,16.0657145487886,35.5013040528789,36.1220654130374,0.26322,0.26996,0.04452,0,0.26685,0.47542,"7.MixedInt_Site",-0.99774,1.72174,0.57798,NA,NA,2.58585,2.58585,NA,NA,2.58585
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",204,NA,"Fixed",9,0.94455,54.0067,73.91542,7.98505935745686,15.4620257261349,45.5430036607214,46.3393500950953,0.26821,0.26889,0.05212,NA,0.27156,NA,"16.Fixed",-0.99366,1.40106,0.67557,0.50193,1.60498,4.15314,1.55718,3.41904,1.12073,4.15314
