"size","ModelN","Model","NumObservations","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"5cm",1,"logDBH.cm",204,"Species","MixedInt",27.5,0.92844,123.31591,136.58839,9.43180523542012,18.2634603783843,67.5690370624584,68.7505217563452,0.31111,0.31528,0.04317,0,0.31333,0.27675,"1.MixedInt_Species",-1.28059,2.16089,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",204,"Species","MixedInt",27.5,0.92949,123.54927,140.13987,8.89513131582438,17.2242613468096,67.7506315481201,68.9352915293075,0.31118,0.31995,0.07053,0,0.31334,0.17005,"8.MixedInt_Species",-0.24394,2.15775,3.00885,NA,NA,1.00023,1.00023,NA,NA,1.00023
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",204,NA,"Fixed",29,0.91787,132.16269,148.75329,8.92625295716355,17.2845243451775,66.7296275153259,67.8964346353569,0.32644,0.32755,0.0506,NA,0.32968,NA,"14.Fixed",-0.19631,1.77388,0.34549,1.68003,NA,3.05058,3.23583,1.12023,NA,3.23583
"5cm",6,"logDBH.cm, logHeight.m",204,NA,"Fixed",30,0.916,134.75976,148.03224,10.5823977128289,20.4914326062148,56.3983206299811,57.3844787207593,0.33014,0.33108,0.05594,NA,0.33259,NA,"6.Fixed",-1.74097,1.86257,0.51615,NA,NA,1.42357,1.42357,NA,NA,1.42357
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",204,NA,"Fixed",31,0.9105,147.69131,160.96379,8.96173076265894,17.3532224871349,75.7638340732073,77.0886096538468,0.34077,0.34126,0.05905,NA,0.3433,NA,"8.Fixed",-0.12722,2.09311,2.89104,NA,NA,1.00626,1.00626,NA,NA,1.00626
"5cm",1,"logDBH.cm",204,NA,"Fixed",32,0.8984,171.56376,181.51812,9.36237348746463,18.1290148564364,76.1168584131097,77.4478068337407,0.36308,0.3619,0.05931,NA,0.36487,NA,"1.Fixed",-1.19187,2.11707,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",9,"logHeight.m, logCanopyDiameter.m",204,NA,"Fixed",33,0.84437,260.55266,273.82514,16.5842266362923,32.1131913263663,68.4617486815993,69.6588429676887,0.44936,0.45306,0.09713,NA,0.4527,NA,"9.Fixed",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,1.1334
"5cm",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",204,NA,"Fixed",34,0.84451,262.37465,278.96525,16.7585973223158,32.4508374116971,68.3073442948052,69.5017387286014,0.44916,0.44406,0.12702,NA,0.45363,NA,"15.Fixed",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,1.22131
"5cm",5,"logComp.Can.H.Den",204,NA,"Fixed",35,0.82266,285.1924,295.14676,16.0021179805311,30.9860138555588,69.4945262321336,70.7096792463208,0.47968,0.48017,0.08104,NA,0.48205,NA,"5.Fixed",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,"logCanopyDiameter.m",204,"Site","MixedIntSlope",36,0.80282,368.55576,388.46448,18.9498837252555,36.6939776588566,68.7325689295363,69.9343986683069,0.53877,0.56182,0.11153,0,0.55062,0.32289,"3.MixedIntSlope_Site",1.43646,2.0455,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",3,"logCanopyDiameter.m",204,"Site","MixedInt",37,0.76678,371.07509,384.34757,19.3609794897911,37.4900109759062,71.916939283807,73.1744496271386,0.56303,0.58081,0.08285,0,0.57006,0.23799,"3.MixedInt_Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",204,"Site","MixedInt",38,0.76718,372.5347,389.1253,19.9637794701463,38.6572544974289,72.16382787609,73.425655212908,0.56218,0.58624,0.06621,0,0.56922,0.2403,"11.MixedInt_Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,1.03954
"5cm",3,"logCanopyDiameter.m",204,NA,"Fixed",39,0.69891,393.17753,403.13189,23.3339081965978,45.1830691139623,83.1942666213281,84.6489677226827,0.62502,0.63133,0.0664,NA,0.62811,NA,"3.Fixed",1.80599,1.87045,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",204,NA,"Fixed",40,0.69952,394.76236,408.03484,23.6895000249877,45.8716262996312,83.3866564429859,84.8447215944947,0.62438,0.63269,0.04302,NA,0.62903,NA,"11.Fixed",1.60573,1.88486,-0.52738,NA,NA,1.06778,1.06778,NA,NA,1.06778
"5cm",2,"logHeight.m",204,"Species&Site","MixedInt",41,0.7688,453.26445,469.85505,23.8698356831698,46.2208227753651,105.313510178248,107.15497937397,0.66865,0.68268,0.15599,0,0.68051,0.43563,"2.MixedInt_Species&Site",-2.98099,3.0502,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",204,"Species&Site","MixedInt",42,0.76731,453.52751,473.43623,24.608453369203,47.6510595653469,105.799153241907,107.649114194672,0.66937,0.69814,0.11728,0,0.68057,0.41231,"10.MixedInt_Species&Site",-2.14181,3.04173,2.40038,NA,NA,1.00003,1.00003,NA,NA,1.00003
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",204,"Site","MixedInt",43,0.76624,452.42235,469.01295,24.891586761271,48.1993104419038,107.586999914021,109.46822242637,0.67555,0.69546,0.11953,0,0.68473,0.42779,"10.MixedInt_Site",-2.12203,3.0154,2.29912,NA,NA,1.00003,1.00003,NA,NA,1.00003
"5cm",2,"logHeight.m",204,"Site","MixedInt",44,0.75637,460.54678,473.81926,23.2028715710417,44.9293337834264,108.800604700706,110.70304781264,0.69236,0.69411,0.1839,0,0.70178,0.43186,"2.MixedInt_Site",-2.90206,3.01115,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",2,"logHeight.m",204,"Species","MixedInt",45,0.55537,497.37741,510.64989,27.6723210201864,53.5838395636244,98.8554908673208,100.584037764599,0.78131,0.78968,0.12123,0,0.78675,0.18101,"2.MixedInt_Species",-0.9094,2.18405,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",204,"Species","MixedInt",46,0.55451,498.54005,515.13065,28.1616307304903,54.5313239829732,98.6687532258056,100.394034904652,0.78148,0.78485,0.12593,0,0.78679,0.13961,"10.MixedInt_Species",0.0351,2.18016,2.73474,NA,NA,1.00001,1.00001,NA,NA,1.00001
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",204,NA,"Fixed",47,0.45099,517.721,530.99348,34.5809057640757,66.9614126359453,103.071587152386,104.873854994128,0.84398,0.85063,0.12274,NA,0.85026,NA,"10.Fixed",0.39058,2.04808,2.93366,NA,NA,1.00001,1.00001,NA,NA,1.00001
"5cm",2,"logHeight.m",204,NA,"Fixed",48,0.4161,528.29214,538.2465,37.9118163936856,73.4112865242828,104.55837082455,106.386635960735,0.87039,0.8701,0.14059,NA,0.87469,NA,"2.Fixed",-0.63156,2.04946,NA,NA,NA,NA,NA,NA,NA,-Inf
