"size","VarGroup","MixedEffects","Model","ModelN","NumPredictors","NumObservations","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
"5cm",11,"Species","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,1.60573,1.56155,1.17372,1.88486,1.92299,1.976,-0.52738,-0.52911,-1.38732,NA,NA,NA,NA,NA,NA,1.06778,1.02758,1.02222,1.06778,1.02758,1.02222,NA,NA,NA,NA,NA,NA,1.06778,1.02758,1.02222
"5cm",11,"Site","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,1.60573,1.40742,1.9191,1.88486,1.93924,1.97665,-0.52738,-0.55546,1.14699,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00077,1.06778,1.03954,1.00077,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00077
"5cm",12,"Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,-1.52055,-1.61483,-1.79735,1.33717,1.58825,1.75285,0.68197,0.49111,0.47476,0.59758,0.49523,0.37026,NA,NA,NA,3.99321,4.22674,1.18927,1.55649,2.24153,1.05545,3.08071,2.77134,1.13084,NA,NA,NA,3.99321,4.22674,1.18927
"5cm",12,"Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,-1.52055,-1.48027,-1.34282,1.33717,1.48581,1.6365,0.68197,0.54903,0.36285,0.59758,0.51243,0.46399,NA,NA,NA,3.99321,4.17384,1.30811,1.55649,1.83282,1.05209,3.08071,2.93106,1.2724,NA,NA,NA,3.99321,4.17384,1.30811
"5cm",12,"Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,-1.52055,-1.57088,-1.77958,1.33717,1.49516,1.63565,0.68197,0.515,0.5451,0.59758,0.59873,0.47428,NA,NA,NA,3.99321,4.0083,1.26743,1.55649,2.14649,1.06294,3.08071,2.62591,1.20346,NA,NA,NA,3.99321,4.0083,1.26743
"5cm",13,"Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,239,-0.82096,-0.91882,-0.82398,1.85522,1.97755,2.08217,0.52097,0.48699,0.39162,2.62796,3.06559,3.23473,NA,NA,NA,1.42423,1.96414,1.03785,1.42369,1.95967,1.03656,1.00047,1.00403,1.00385,NA,NA,NA,1.42423,1.96414,1.03785
"5cm",13,"Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,239,-0.82096,-0.75036,-0.39623,1.85522,1.95262,2.05272,0.52097,0.39094,0.24443,2.62796,2.68701,3.35946,NA,NA,NA,1.42423,1.62518,1.01889,1.42369,1.62518,1.02037,1.00047,1.00001,1.00147,NA,NA,NA,1.42423,1.62518,1.02037
"5cm",13,"Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,239,-0.82096,-0.91882,-0.95309,1.85522,1.97755,2.0557,0.52097,0.48699,0.43571,2.62796,3.06559,2.98753,NA,NA,NA,1.42423,1.96414,1.03989,1.42369,1.95967,1.03724,1.00047,1.00403,1.00359,NA,NA,NA,1.42423,1.96414,1.03989
"5cm",14,"Species&Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,-0.19631,-0.40233,-0.40009,1.77388,1.81168,1.9032,0.34549,0.4651,0.35741,1.68003,1.94905,2.15395,NA,NA,NA,3.05058,2.76246,1.16311,3.23583,2.86642,1.20546,1.12023,1.10933,1.04667,NA,NA,NA,3.23583,2.86642,1.20546
"5cm",14,"Species","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,-0.19631,-0.33655,-0.45996,1.77388,1.80849,1.8538,0.34549,0.40615,0.37285,1.68003,1.71897,1.52002,NA,NA,NA,3.05058,2.81571,1.44244,3.23583,2.82339,1.51198,1.12023,1.00538,1.09137,NA,NA,NA,3.23583,2.82339,1.51198
"5cm",14,"Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,-0.19631,-0.40233,-0.44948,1.77388,1.81168,1.9142,0.34549,0.4651,0.34032,1.68003,1.94905,2.01682,NA,NA,NA,3.05058,2.76246,1.21352,3.23583,2.86642,1.3024,1.12023,1.10933,1.08729,NA,NA,NA,3.23583,2.86642,1.3024
"5cm",15,"Species&Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,-0.74369,-1.18384,-1.49416,1.34956,1.62356,1.85099,1.55106,1.45123,1.41007,0.24948,0.41189,1.12446,NA,NA,NA,1.14378,1.34492,1.05059,1.22131,1.40322,1.0542,1.07757,1.0623,1.00649,NA,NA,NA,1.22131,1.40322,1.0542
"5cm",15,"Species","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,-0.74369,-0.74369,-0.84796,1.34956,1.34956,1.35886,1.55106,1.55106,1.58496,0.24948,0.24948,0.19166,NA,NA,NA,1.14378,1.14378,1.04974,1.22131,1.22131,1.06469,1.07757,1.07757,1.03042,NA,NA,NA,1.22131,1.22131,1.06469
"5cm",15,"Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,-0.74369,-1.18384,-1.65258,1.34956,1.62356,1.8771,1.55106,1.45123,1.37157,0.24948,0.41189,0.66432,NA,NA,NA,1.14378,1.34492,1.08848,1.22131,1.40322,1.11586,1.07757,1.0623,1.02977,NA,NA,NA,1.22131,1.40322,1.11586
"5cm",16,"Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,-0.99366,-0.96456,-1.23367,1.40106,1.59213,1.59387,0.67557,0.49652,0.58584,0.50193,0.48683,0.47403,1.60498,1.93119,1.7922,4.15314,4.2076,1.81462,1.55718,2.18009,1.14518,3.41904,2.90005,1.71511,1.12073,1.10914,1.06388193837158,4.15314,4.2076,1.81462
"5cm",16,"Species","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,-0.99366,-0.92773,-0.73645,1.40106,1.48186,1.6565,0.67557,0.56044,0.34565,0.50193,0.50553,0.44643,1.60498,1.63719,1.73336,4.15314,4.17524,1.30673,1.55718,1.8063,1.0498,3.41904,2.9818,1.32788,1.12073,1.01454,1.05168050228085,4.15314,4.17524,1.32788
"5cm",16,"Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,-0.99366,-0.96456,-1.07962,1.40106,1.59213,1.78979,0.67557,0.49652,0.45378,0.50193,0.48683,0.3388,1.60498,1.93119,2.0669,4.15314,4.2076,1.23057,1.55718,2.18009,1.06542,3.41904,2.90005,1.24726,1.12073,1.10914,1.08727982583781,4.15314,4.2076,1.24726
