"size","VarGroup","MixedEffects","Model","ModelN","NumPredictors","NumObservations","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
"all",7,"Species","logDBH.cm, logCanopyDiameter.m",7,2,339,-0.90458,-0.95544,-0.94329,1.69137,1.75004,1.74145,0.59685,0.52563,0.55393,NA,NA,NA,NA,NA,NA,4.55624,4.7005,1.32419,4.55624,4.7005,1.32419,NA,NA,NA,NA,NA,NA,4.55624,4.7005,1.32419
"all",7,"Site","logDBH.cm, logCanopyDiameter.m",7,2,339,-0.90458,-0.98001,-1.02671,1.69137,1.6952,1.76133,0.59685,0.67596,0.56419,NA,NA,NA,NA,NA,NA,4.55624,3.10964,1.0611,4.55624,3.10964,1.0611,NA,NA,NA,NA,NA,NA,4.55624,3.10964,1.0611
"all",8,"Species&Site","logDBH.cm, logWoodDensity.g.cm3",8,2,503,0.42106,0.42715,0.39738,1.98609,1.98285,2.02438,3.98719,4.05863,4.08442,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00003,1.00035,1.00291,1.00003,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00003
"all",8,"Species","logDBH.cm, logWoodDensity.g.cm3",8,2,503,0.42106,0.42106,0.30373,1.98609,1.98609,2.03912,3.98719,3.98719,3.88848,NA,NA,NA,NA,NA,NA,1.00035,1.00035,1.00003,1.00035,1.00035,1.00003,NA,NA,NA,NA,NA,NA,1.00035,1.00035,1.00003
"all",8,"Site","logDBH.cm, logWoodDensity.g.cm3",8,2,503,0.42106,0.42715,0.3266,1.98609,1.98285,2.04748,3.98719,4.05863,4.06283,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00098,1.00035,1.00291,1.00098,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00098
"all",9,"Species&Site","logHeight.m, logCanopyDiameter.m",9,2,545,-0.97649,-1.03646,-1.50689,1.40076,1.54185,1.6693,1.34896,1.1273,1.30292,NA,NA,NA,NA,NA,NA,4.99639,3.5983,1.04234,4.99639,3.5983,1.04234,NA,NA,NA,NA,NA,NA,4.99639,3.5983,1.04234
"all",9,"Species","logHeight.m, logCanopyDiameter.m",9,2,545,-0.97649,-0.97649,-1.07134,1.40076,1.40076,1.45662,1.34896,1.34896,1.28764,NA,NA,NA,NA,NA,NA,4.99639,4.99639,1.02035,4.99639,4.99639,1.02035,NA,NA,NA,NA,NA,NA,4.99639,4.99639,1.02035
"all",9,"Site","logHeight.m, logCanopyDiameter.m",9,2,545,-0.97649,-1.03097,-1.64582,1.40076,1.53023,1.68718,1.34896,1.13811,1.30155,NA,NA,NA,NA,NA,NA,4.99639,3.50562,1.01832,4.99639,3.50562,1.01832,NA,NA,NA,NA,NA,NA,4.99639,3.50562,1.01832
"all",10,"Species&Site","logHeight.m, logWoodDensity.g.cm3",10,2,611,-1.58115,-1.431,-1.50905,2.75831,2.60561,2.63145,2.90652,2.59649,2.38091,NA,NA,NA,NA,NA,NA,1.00775,1.00414,1.00034,1.00775,1.00414,1.00034,NA,NA,NA,NA,NA,NA,1.00775,1.00414,1.00034
"all",10,"Species","logHeight.m, logWoodDensity.g.cm3",10,2,611,-1.58115,-1.57066,-0.74771,2.75831,2.78047,2.77653,2.90652,3.0027,5.3732,NA,NA,NA,NA,NA,NA,1.00775,1.00092,1.00217,1.00775,1.00092,1.00217,NA,NA,NA,NA,NA,NA,1.00775,1.00092,1.00217
"all",10,"Site","logHeight.m, logWoodDensity.g.cm3",10,2,611,-1.58115,-1.42824,-2.0535,2.75831,2.60541,2.96807,2.90652,2.60408,2.31662,NA,NA,NA,NA,NA,NA,1.00775,1.00473,1.00053,1.00775,1.00473,1.00053,NA,NA,NA,NA,NA,NA,1.00775,1.00473,1.00053
"all",11,"Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,545,-0.33355,-0.17887,-0.1318,2.46944,2.32808,2.32574,-2.85756,-2.50091,-2.38348,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00197,1.00018,1.00503,1.00197,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00197
"all",11,"Species","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,545,-0.33355,-0.32545,0.09435,2.46944,2.46783,2.45975,-2.85756,-2.84034,-1.61386,NA,NA,NA,NA,NA,NA,1.00018,1.00006,1.00001,1.00018,1.00006,1.00001,NA,NA,NA,NA,NA,NA,1.00018,1.00006,1.00001
"all",11,"Site","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,545,-0.33355,-0.17886,-0.28518,2.46944,2.32808,2.51464,-2.85756,-2.5009,-1.83216,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00007,1.00018,1.00503,1.00007,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00007
"all",12,"Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,339,-1.51771,-1.63002,-1.49553,1.08181,1.17736,1.47123,0.85324,0.86778,0.54058,0.79656,0.68682,0.54091,NA,NA,NA,11.09412,9.29039,1.20591,5.09042,5.47292,1.07882,4.95239,3.62643,1.1279,NA,NA,NA,11.09412,9.29039,1.20591
"all",12,"Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,339,-1.51771,-1.53275,-1.48124,1.08181,1.14523,1.15627,0.85324,0.83479,0.7867,0.79656,0.71685,0.73589,NA,NA,NA,11.09412,11.78256,2.24959,5.09042,5.53578,1.51105,4.95239,5.08383,1.62061,NA,NA,NA,11.09412,11.78256,2.24959
"all",12,"Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,339,-1.51771,-1.60404,-1.44736,1.08181,1.10131,1.37343,0.85324,0.89054,0.57953,0.79656,0.7752,0.63691,NA,NA,NA,11.09412,8.99462,1.30532,5.09042,5.27067,1.09568,4.95239,3.5391,1.20668,NA,NA,NA,11.09412,8.99462,1.30532
"all",13,"Species&Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,405,-0.50769,-0.57014,-0.57289,1.74922,1.70806,1.83083,0.55988,0.61697,0.45588,3.10809,3.06351,2.90015,NA,NA,NA,5.05013,5.82915,1.1247,5.04648,5.82021,1.1243,1.00207,1.00401,1.00045,NA,NA,NA,5.05013,5.82915,1.1247
"all",13,"Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,405,-0.50769,-0.50769,-0.4025,1.74922,1.74922,1.76901,0.55988,0.55988,0.51608,3.10809,3.10809,3.28791,NA,NA,NA,5.05013,5.05013,2.08617,5.04648,5.04648,2.08434,1.00207,1.00207,1.00134,NA,NA,NA,5.05013,5.05013,2.08617
"all",13,"Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,405,-0.50769,-0.57014,-0.56112,1.74922,1.70806,1.82255,0.55988,0.61697,0.46167,3.10809,3.06351,2.90987,NA,NA,NA,5.05013,5.82915,1.14747,5.04648,5.82021,1.14694,1.00207,1.00401,1.00065,NA,NA,NA,5.05013,5.82915,1.14747
"all",14,"Species&Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,-0.22969,-0.33098,-0.53751,1.7538,1.7633,1.83925,0.50247,0.57494,0.46091,2.07506,2.02536,1.63592,NA,NA,NA,4.85936,3.33453,1.0403,4.94725,3.35937,1.06078,1.08582,1.04595,1.02138,NA,NA,NA,4.94725,3.35937,1.06078
"all",14,"Species","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,-0.22969,-0.24737,-0.15035,1.7538,1.75485,1.75215,0.50247,0.51423,0.53677,2.07506,2.06626,2.32915,NA,NA,NA,4.85936,4.75572,1.33811,4.94725,4.77859,1.4125,1.08582,1.02282,1.07252,NA,NA,NA,4.94725,4.77859,1.4125
"all",14,"Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,-0.22969,-0.32298,-0.39306,1.7538,1.76259,1.8351,0.50247,0.57601,0.45907,2.07506,2.04875,2.01903,NA,NA,NA,4.85936,3.32768,1.0397,4.94725,3.37549,1.08294,1.08582,1.09138,1.04731,NA,NA,NA,4.94725,3.37549,1.08294
"all",15,"Species&Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,545,-0.8747,-0.90812,-1.53944,1.40968,1.54599,1.71596,1.34165,1.12347,1.26767,0.3278,0.39431,0.4684,NA,NA,NA,5.32366,3.69657,1.01879,5.27264,3.69752,1.01935,1.0657,1.03518,1.01496,NA,NA,NA,5.32366,3.69752,1.01935
