"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
1,"DBH.cm","Site","MixedIntSlope",19,0.95295,748.35063,773.67417,0.47856,0.2154,0.49021,0.05067,0,0.48507,0.34506,"1.MixedIntSlope_Site",-1.0528,2.0227,NA,NA,NA,NA,NA,NA,NA,0.946196939334684,NA,NA,NA,-Inf
1,"DBH.cm","Species","MixedIntSlope",20,0.95279,736.88118,762.20472,0.48486,0.21824,0.48552,0.08734,0,0.48766,0.26328,"1.MixedIntSlope_Species",-1.02525,2.03848,NA,NA,NA,NA,NA,NA,NA,0.948313960743232,NA,NA,NA,-Inf
1,"DBH.cm","Species&Site","MixedInt",21,0.94568,784.07905,805.182,0.50563,0.22759,0.50894,0.0941,0,0.51026,0.22017,"1.MixedInt_Species&Site",-0.96022,1.98266,NA,NA,NA,NA,NA,NA,NA,0.941377800896995,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Site","MixedIntSlope",22,0.96862,1041.7775,1067.58222,0.59798,0.99835,0.60957,0.04426,0,0.60373,0.40987,"5.MixedIntSlope_Site",-0.46009,0.94718,NA,NA,NA,NA,NA,NA,NA,0.964518571738007,NA,NA,NA,-Inf
8,"DBH.cm, WoodDensity.g.cm3",NA,"Fixed",23,0.94163,792.97811,809.86047,0.52801,0.23766,0.52486,0.09374,NA,0.52959,NA,"8.Fixed",0.42106,1.98609,3.98719,NA,NA,1.00035,1.00035,NA,NA,0.941222515980494,0.148393290871354,NA,NA,1.00035
1,"DBH.cm","Species","MixedInt",24,0.94171,804.66629,821.54865,0.52734,0.23736,0.52782,0.08341,0,0.52887,0.14144,"1.MixedInt_Species",-0.94203,1.98562,NA,NA,NA,NA,NA,NA,NA,0.938813961065386,NA,NA,NA,-Inf
9,"Height.m, CanopyDiameter.m","Species&Site","MixedInt",25,0.96142,1037.94529,1063.75001,0.60366,1.00784,0.61499,0.05356,0,0.60794,0.19604,"9.MixedInt_Species&Site",-1.03646,1.54185,1.1273,NA,NA,3.5983,3.5983,NA,NA,0.600446318468416,0.501807064371506,NA,NA,3.5983
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",26,0.96115,1037.87173,1063.67644,0.60576,1.01134,0.61266,0.05777,0,0.60941,0.16697,"15.MixedInt_Site",-0.89906,1.5439,1.12547,0.42978,NA,3.72773,3.72678,1.06903,NA,0.582293300538933,0.483960983071049,0.00129886896131343,NA,3.72773
9,"Height.m, CanopyDiameter.m","Site","MixedInt",27,0.96113,1036.59921,1058.10314,0.60621,1.01209,0.61202,0.08762,0,0.60986,0.16543,"9.MixedInt_Site",-1.03097,1.53023,1.13811,NA,NA,3.50562,3.50562,NA,NA,0.593066428197307,0.502691010009288,NA,NA,3.50562
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedInt",28,0.96134,1039.67326,1069.77876,0.60407,1.00852,0.6141,0.05483,0,0.60821,0.1878,"15.MixedInt_Species&Site",-0.90812,1.54599,1.12347,0.39431,NA,3.69657,3.69752,1.03518,NA,0.586683294160781,0.486912026652857,0.00111048347167067,NA,3.69752
