"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMdSE_lin_Fixed","RelRMdSE_lin_Fixed","RMSE_lin_Fixed","RelRMSE_lin_Fixed","RMSE_log_Fixed","RMSE_log.CVmean_Fixed","RMSE_log.CVsd_Fixed","RMdSE_lin_MixedInt","RelRMdSE_lin_MixedInt","RMSE_lin_MixedInt","RelRMSE_lin_MixedInt","RMSE_log_MixedInt","RMdSE_lin_MixedIntSlope","RelRMdSE_lin_MixedIntSlope","RMSE_lin_MixedIntSlope","RelRMSE_lin_MixedIntSlope","RMSE_log_MixedIntSlope","RMSE_log.CVmean_MixedInt","RMSE_log.CVmean_MixedIntSlope","RMSE_log.CVsd_MixedInt","RMSE_log.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope"
"5cm",6,"logDBH.cm, logHeight.m",6,2,204,"Site",0.916,0.93115,0.95704,134.75976,122.68083,79.42439,148.03224,139.27143,112.60559,10.5823977128289,20.4914326062148,56.3983206299811,57.3844787207593,0.33014,0.32865,0.05903,8.03072295754098,15.550447330489,52.8550382545093,53.7792399511352,0.30744,6.79770851236686,13.1628757147346,32.2986435232885,32.8634044643212,0.25359,0.31023,1.62358,0.07976,0.1531,0.33259,0,1,0.31094,0.25998,0.1409,NA
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Species&Site",0.91195,0.95805,0.95929,144.36423,47.25437,53.07218,157.63671,67.16309,106.1621,6.65818342528151,12.8927035858398,65.1515021815234,66.2907148439748,0.338,0.33936,0.06454,6.33921028485625,12.2750537121923,34.8025878071277,35.4111316992622,0.24367,6.45350743217377,12.496375226928,30.9795328654023,31.521228374107,0.23329,0.25581,0.26736,0.03731,0.06446,0.34051,0,1,0.24818,0.23864,0.55404,NA
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Species",0.91195,0.93885,0.94202,144.36423,95.37374,97.60047,157.63671,111.96434,130.78167,6.65818342528151,12.8927035858398,65.1515021815234,66.2907148439748,0.338,0.33936,0.06454,6.63363220792687,12.8451633563497,58.9954893945539,60.0270605217788,0.28901,6.78025393055462,13.1290771941553,59.8470239227955,60.8934846363631,0.2834,0.29199,0.29137,0.07381,0.04539,0.34051,0,1,0.29108,0.28546,0.28468,NA
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Site",0.91195,0.95166,0.95663,144.36423,69.00058,55.34922,157.63671,85.59118,88.53042,6.65818342528151,12.8927035858398,65.1515021815234,66.2907148439748,0.338,0.33936,0.06454,8.29682258743097,16.0657145487886,35.5013040528789,36.1220654130374,0.26322,7.72114710050025,14.9509940701592,30.6470412738472,31.1829229698449,0.24672,0.27122,0.36973,0.05046,0.08205,0.34051,0,1,0.26685,0.2509,0.47542,NA
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,"Species&Site",0.9105,0.94736,0.95462,147.69131,87.9916,90.89473,160.96379,107.90032,143.98465,8.96173076265894,17.3532224871349,75.7638340732073,77.0886096538468,0.34077,0.34394,0.05861,8.60598986378591,16.6643766459231,46.1306774827676,46.9372997425186,0.2758,7.28014404961285,14.0970491947517,47.7280708860552,48.5626245170103,0.25759,0.2839,0.31849,0.06257,0.0951,0.3433,1,1,0.2795,0.26318,NA,NA
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,"Species",0.9105,0.92949,0.93791,147.69131,123.54927,116.65073,160.96379,140.13987,149.83193,8.96173076265894,17.3532224871349,75.7638340732073,77.0886096538468,0.34077,0.34394,0.05861,8.89513131582438,17.2242613468096,67.7506315481201,68.9352915293075,0.31118,9.93562385183816,19.2390394016118,64.3194911513669,65.4441556074206,0.29797,0.31444,0.40337,0.05041,0.10666,0.3433,0,1,0.31334,0.30006,0.17005,NA
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,204,"Site",0.9105,0.94736,0.96458,147.69131,85.9916,33.02996,160.96379,102.5822,66.21116,8.96173076265894,17.3532224871349,75.7638340732073,77.0886096538468,0.34077,0.34394,0.05861,8.6059898687771,16.6643766555879,46.1306772710045,46.9372995270526,0.2758,6.66133986323625,12.8988156161547,28.3650378818196,28.8610173948606,0.22907,0.28538,0.61682,0.05629,0.08853,0.3433,0,1,0.2795,0.23427,0.38952,NA
"5cm",9,"logHeight.m, logCanopyDiameter.m",9,2,204,"Species&Site",0.84437,0.85893,0.8746,260.55266,262.24812,276.56182,273.82514,282.15684,329.65174,16.5842266362923,32.1131913263663,68.4617486815993,69.6588429676887,0.44936,0.45048,0.06277,13.9413213939989,26.9955501143549,71.6242610119967,72.8766537021337,0.43368,13.2712651408941,25.6980735948111,67.4775897079703,68.6574753906188,0.42041,0.45258,0.44159,0.05959,0.07476,0.4527,1,1,0.43811,0.42581,NA,NA
"5cm",9,"logHeight.m, logCanopyDiameter.m",9,2,204,"Species",0.84437,0.84501,0.8551,260.55266,262.55266,268.20741,273.82514,279.14326,301.38861,16.5842266362923,32.1131913263663,68.4617486815993,69.6588429676887,0.44936,0.45048,0.06277,16.7672282894747,32.4675501536165,68.4935144913027,69.6911642214177,0.44936,15.7842954707397,30.5642289821651,65.5047025857805,66.6500911668131,0.43763,0.45047,0.45464,0.064,0.09306,0.4527,1,1,0.44936,0.44005,NA,NA
"5cm",9,"logHeight.m, logCanopyDiameter.m",9,2,204,"Site",0.84437,0.85893,0.88398,260.55266,260.24812,254.384,273.82514,276.83872,287.5652,16.5842266362923,32.1131913263663,68.4617486815993,69.6588429676887,0.44936,0.45048,0.06277,13.9413206230394,26.9955486214926,71.6242622979241,72.8766550105463,0.43368,12.0137812642931,23.2631201173461,67.7078380098218,68.8917497206076,0.40511,0.45257,1.01564,0.10695,0.19919,0.4527,0,1,0.43811,0.4123,0.08762,NA
