"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
5,"Site","Comp.Can.H.Den",5,1,0.34268,0.34268,0.19006,0.86504,0.86504,0.89245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822659812920654,0.823375585373333,0.836545841475673,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
6,"Species&Site","DBH.cm, Height.m",6,2,-1.74097,-1.94125,-2.1508,1.86257,1.98796,1.97662,0.51615,0.46433,0.56539,NA,NA,NA,NA,NA,NA,1.42357,2.0313,1.10121,1.42357,2.0313,1.10121,NA,NA,NA,NA,NA,NA,0.849304194790281,0.899037775653573,0.902534728699913,0.159680890647151,0.175793345701953,0.249608941071482,NA,NA,NA,NA,NA,NA,1.42357,2.0313,1.10121
6,"Species","DBH.cm, Height.m",6,2,-1.74097,-1.66509,-1.56832,1.86257,1.96153,2.05021,0.51615,0.37919,0.25674,NA,NA,NA,NA,NA,NA,1.42357,1.64384,1.01888,1.42357,1.64384,1.01888,NA,NA,NA,NA,NA,NA,0.849304194790281,0.886409522175643,0.894100543846909,0.159680890647151,0.113503205614345,0.0549355666363637,NA,NA,NA,NA,NA,NA,1.42357,1.64384,1.01888
6,"Site","DBH.cm, Height.m",6,2,-1.74097,-1.96787,-2.04925,1.86257,1.93797,1.97724,0.51615,0.52695,0.53736,NA,NA,NA,NA,NA,NA,1.42357,1.85464,1.08364,1.42357,1.85464,1.08364,NA,NA,NA,NA,NA,NA,0.849304194790281,0.863301980045694,0.87509049811343,0.159680890647151,0.170123600197422,0.185125137069495,NA,NA,NA,NA,NA,NA,1.42357,1.85464,1.08364
7,"Species&Site","DBH.cm, CanopyDiameter.m",7,2,-0.74019,-1.06138,-1.00605,1.71068,1.80439,1.84153,0.4441,0.47542,0.37501,NA,NA,NA,NA,NA,NA,2.90776,2.74967,1.22593,2.90776,2.74967,1.22593,NA,NA,NA,NA,NA,NA,0.707554503527134,0.811023385026815,0.826958927004007,0.133362900122221,0.21946608077642,0.157561186473787,NA,NA,NA,NA,NA,NA,2.90776,2.74967,1.22593
7,"Species","DBH.cm, CanopyDiameter.m",7,2,-0.74019,-0.92514,-0.94414,1.71068,1.80645,1.80777,0.4441,0.41094,0.43155,NA,NA,NA,NA,NA,NA,2.90776,2.80758,1.38885,2.90776,2.80758,1.38885,NA,NA,NA,NA,NA,NA,0.707554503527134,0.770632952600246,0.777302028699038,0.133362900122221,0.140958060084896,0.158045796257485,NA,NA,NA,NA,NA,NA,2.90776,2.80758,1.38885
7,"Site","DBH.cm, CanopyDiameter.m",7,2,-0.74019,-0.99774,-1.02523,1.71068,1.72174,1.79208,0.4441,0.57798,0.4827,NA,NA,NA,NA,NA,NA,2.90776,2.58585,1.27237,2.90776,2.58585,1.27237,NA,NA,NA,NA,NA,NA,0.707554503527134,0.763958462571877,0.791481282867234,0.133362900122221,0.256068182868759,0.206280711862582,NA,NA,NA,NA,NA,NA,2.90776,2.58585,1.27237
8,"Species&Site","DBH.cm, WoodDensity.g.cm3",8,2,-0.12722,-0.27168,-0.51463,2.09311,2.21223,2.22779,2.89104,3.3718,2.63548,NA,NA,NA,NA,NA,NA,1.00626,1.00029,1.00024,1.00626,1.00029,1.00024,NA,NA,NA,NA,NA,NA,0.911847859353412,0.938724959625451,0.944954672716713,0.178830767259215,0.281995339119596,0.20956828596575,NA,NA,NA,NA,NA,NA,1.00626,1.00029,1.00024
8,"Species","DBH.cm, WoodDensity.g.cm3",8,2,-0.12722,-0.24394,-0.22538,2.09311,2.15775,2.18687,2.89104,3.00885,3.2181,NA,NA,NA,NA,NA,NA,1.00626,1.00023,1.00131,1.00626,1.00023,1.00131,NA,NA,NA,NA,NA,NA,0.911847859353412,0.923696096605099,0.928653146042273,0.178830767259215,0.206199364505217,0.237252336868867,NA,NA,NA,NA,NA,NA,1.00626,1.00023,1.00131
8,"Site","DBH.cm, WoodDensity.g.cm3",8,2,-0.12722,-0.26516,-0.31802,2.09311,2.2101,2.23915,2.89104,3.37927,3.28878,NA,NA,NA,NA,NA,NA,1.00626,1.00054,1,1.00626,1.00054,1,NA,NA,NA,NA,NA,NA,0.911847859353412,0.933134934986017,0.947813238254867,0.178830767259215,0.264732608525951,0.301859696183494,NA,NA,NA,NA,NA,NA,1.00626,1.00054,1
