"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
6,6,"MixedInt","Site","DBH.cm, Height.m",2,"6.MixedInt_Site",-1.96787,1.93797,0.52695,NA,NA,1.85464,1.85464,NA,NA,0.863301980045694,0.170123600197422,NA,NA,1.85464
1,1,"MixedInt","Species","DBH.cm",1,"1.MixedInt_Species",-1.28059,2.16089,NA,NA,NA,NA,NA,NA,NA,0.922467064086882,NA,NA,NA,-Inf
8,8,"MixedInt","Species","DBH.cm, WoodDensity.g.cm3",2,"8.MixedInt_Species",-0.24394,2.15775,3.00885,NA,NA,1.00023,1.00023,NA,NA,0.923696096605099,0.206199364505217,NA,NA,1.00023
7,7,"Fixed",NA,"DBH.cm, CanopyDiameter.m",2,"7.Fixed",-0.74019,1.71068,0.4441,NA,NA,2.90776,2.90776,NA,NA,0.707554503527134,0.133362900122221,NA,NA,2.90776
4,4,"Fixed",NA,"Comp.DBH.H.Den",1,"4.Fixed",-1.81522,0.85232,NA,NA,NA,NA,NA,NA,NA,0.910182146546649,NA,NA,NA,-Inf
1,1,"MixedInt","Site","DBH.cm",1,"1.MixedInt_Site",-1.44479,2.21471,NA,NA,NA,NA,NA,NA,NA,0.912288731738445,NA,NA,NA,-Inf
6,6,"Fixed",NA,"DBH.cm, Height.m",2,"6.Fixed",-1.74097,1.86257,0.51615,NA,NA,1.42357,1.42357,NA,NA,0.849304194790281,0.159680890647151,NA,NA,1.42357
8,8,"Fixed",NA,"DBH.cm, WoodDensity.g.cm3",2,"8.Fixed",-0.12722,2.09311,2.89104,NA,NA,1.00626,1.00626,NA,NA,0.911847859353412,0.178830767259215,NA,NA,1.00626
1,1,"Fixed",NA,"DBH.cm",1,"1.Fixed",-1.19187,2.11707,NA,NA,NA,NA,NA,NA,NA,0.897374247160192,NA,NA,NA,-Inf
9,9,"Fixed",NA,"Height.m, CanopyDiameter.m",2,"9.Fixed",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,0.733465699139455,0.4831103316338,NA,NA,1.1334
